epoch,classification_output_accuracy,classification_output_auc,classification_output_loss,learning_rate,loss,regression_output_loss,regression_output_mae,regression_output_mse,val_classification_output_accuracy,val_classification_output_auc,val_classification_output_loss,val_loss,val_regression_output_loss,val_regression_output_mae,val_regression_output_mse
0,0.7639005780220032,0.6407137513160706,0.5029162168502808,0.0010000000474974513,0.5150117874145508,0.19273298978805542,0.3267979621887207,0.19278620183467865,0.841691255569458,0.8114170432090759,0.370945006608963,0.38478657603263855,0.16440998017787933,0.29494792222976685,0.1654631793498993
1,0.8588879704475403,0.8543865084648132,0.3236859142780304,0.0010000000474974513,0.3216218054294586,0.12045350670814514,0.21428918838500977,0.12092297524213791,0.8470993041992188,0.8852291703224182,0.3196117579936981,0.29230231046676636,0.08560247719287872,0.1325395703315735,0.08612623810768127
2,0.8818449974060059,0.9202802777290344,0.25656604766845703,0.0010000000474974513,0.2556416690349579,0.0809866189956665,0.1260792464017868,0.08118965476751328,0.8564404845237732,0.8947365283966064,0.2878587245941162,0.26260316371917725,0.08166097104549408,0.11970309913158417,0.08215198665857315
3,0.9004844427108765,0.9403520822525024,0.22287701070308685,0.0010000000474974513,0.2322252243757248,0.08040348440408707,0.12831614911556244,0.080610491335392,0.8726646900177002,0.9185671806335449,0.25636547803878784,0.24297602474689484,0.07943683862686157,0.15986664593219757,0.07986170053482056
4,0.9147009253501892,0.9494478702545166,0.20424725115299225,0.0010000000474974513,0.2194676697254181,0.07991882413625717,0.1265903264284134,0.08012384921312332,0.8741396069526672,0.9056603908538818,0.27505141496658325,0.24971438944339752,0.08206972479820251,0.18922576308250427,0.082441046833992
5,0.9231255054473877,0.959261953830719,0.1851290464401245,0.0010000000474974513,0.2078055590391159,0.08060111105442047,0.12859471142292023,0.0808088406920433,0.8294001817703247,0.8651644587516785,0.3397546112537384,0.2732175290584564,0.0827493667602539,0.19358310103416443,0.08311481028795242
6,0.9259688258171082,0.9605141282081604,0.1779191642999649,0.0010000000474974513,0.20629911124706268,0.08068369328975677,0.12837739288806915,0.08089207857847214,0.8372664451599121,0.8918894529342651,0.3121894299983978,0.2617158591747284,0.08634961396455765,0.13701963424682617,0.08687949925661087
7,0.9292333722114563,0.9667489528656006,0.16534020006656647,0.0010000000474974513,0.19824975728988647,0.08059317618608475,0.12865608930587769,0.08080118894577026,0.8053097128868103,0.8261241316795349,0.37831395864486694,0.2891313135623932,0.09381717443466187,0.17026366293430328,0.09438757598400116
8,0.9332350492477417,0.9701950550079346,0.1570318341255188,0.0010000000474974513,0.1926443725824356,0.08045053482055664,0.1289328783750534,0.0806581899523735,0.847590982913971,0.8939827680587769,0.31269165873527527,0.2583428919315338,0.08098161220550537,0.13022109866142273,0.08145757019519806
9,0.9572451710700989,0.9869753122329712,0.11048533022403717,0.0005000000237487257,0.15948696434497833,0.0797928124666214,0.12956249713897705,0.079996258020401,0.8706981539726257,0.908758819103241,0.27748510241508484,0.25509345531463623,0.14576193690299988,0.29534852504730225,0.14648373425006866
10,0.9628264307975769,0.989120364189148,0.09773354977369308,0.0005000000237487257,0.14264029264450073,0.07933083176612854,0.12954673171043396,0.07953381538391113,0.8520157337188721,0.814426600933075,0.6105951070785522,0.3633238971233368,0.10223943740129471,0.19419316947460175,0.10283616185188293
11,0.9673546552658081,0.9927282333374023,0.08439718186855316,0.0005000000237487257,0.13603314757347107,0.07812700420618057,0.12973055243492126,0.07832502573728561,0.8082596063613892,0.8733611106872559,0.4486342966556549,0.3812183737754822,0.2450873851776123,0.4322972595691681,0.24595008790493011
12,0.9696714282035828,0.9916468262672424,0.08326983451843262,0.0005000000237487257,0.13584081828594208,0.07747957110404968,0.12969326972961426,0.07767496258020401,0.8520157337188721,0.8382890224456787,0.4585472047328949,0.3032601475715637,0.10389941930770874,0.1995937079191208,0.104510098695755
13,0.9720935225486755,0.993084728717804,0.0789165273308754,0.0005000000237487257,0.1348068118095398,0.07743336260318756,0.13016070425510406,0.07762855291366577,0.8515241146087646,0.8231999278068542,0.4760286211967468,0.3044816851615906,0.09941145032644272,0.18677514791488647,0.10000133514404297
14,0.982413649559021,0.9970909357070923,0.053054872900247574,0.0002500000118743628,0.11466490477323532,0.07613042742013931,0.12946845591068268,0.07632013410329819,0.849065899848938,0.858428955078125,0.39017805457115173,0.24823077023029327,0.0806809738278389,0.1364881992340088,0.08115158975124359
15,0.9908382296562195,0.9990544319152832,0.03500809893012047,0.0002500000118743628,0.09832970052957535,0.07506205141544342,0.12906423211097717,0.07524443417787552,0.8510324358940125,0.8502331972122192,0.4272879660129547,0.2611949145793915,0.09079330414533615,0.224944069981575,0.0911390408873558
16,0.9922072291374207,0.9993603825569153,0.028730088844895363,0.0002500000118743628,0.08831653743982315,0.07373584806919098,0.12661229074001312,0.07391257584095001,0.8534906506538391,0.7802706360816956,0.5905348658561707,0.31602224707603455,0.08006331324577332,0.14334535598754883,0.08053161203861237
17,0.9894692301750183,0.9976755976676941,0.037370599806308746,0.0002500000118743628,0.0880560353398323,0.07021083682775497,0.12398523092269897,0.07034578174352646,0.8588986992835999,0.7276060581207275,0.6830944418907166,0.3689426779747009,0.10306219011545181,0.21301206946372986,0.10356508940458298
18,0.9886267781257629,0.9986175298690796,0.03705238178372383,0.0002500000118743628,0.08628949522972107,0.06425675004720688,0.11082346737384796,0.06437969952821732,0.8574237823486328,0.7910557389259338,0.6088456511497498,0.498936265707016,0.3680211901664734,0.5597323179244995,0.36856749653816223
